Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,1,Import,699,India,IND,764,Thailand,THA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,27349,,27349,,65500,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,764,Thailand,THA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,377808,,377808,,572047,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,784,United Arab Emirates,ARE,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,22010,,22010,,160086,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,784,United Arab Emirates,ARE,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,151453,,151453,,353730,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,788,Tunisia,TUN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,112000,,112000,,201150,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,800,Uganda,UGA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,100,,100,,130,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,804,Ukraine,UKR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1299,,1299,,8367,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,804,Ukraine,UKR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,149000,,149000,,249764,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,40160,,40160,,366073,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,281284,,281284,,1096340,,,0
