Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,842,United States of America,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,52534,,422941,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,634,Qatar,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,106,,642,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,643,Russian Federation,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,112000,,166205,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,702,Singapore,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,81000,,248007,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,724,Spain,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,8160,,37720,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,764,Thailand,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,23100,,46272,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,0,World,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,6901951,,14559252,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,112,Belarus,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,50000,,91208,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,124,Canada,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,3150,,11390,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,156,China,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,228000,,526498,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,251,France,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,20115,,112057,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,276,Germany,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,1540,,3562,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,344,"China, Hong Kong SAR",,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,18000,,58951,,,0
