Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201401,Exports,India,United Arab Emirates,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,81715
2014,201401,Exports,India,Viet Nam,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,22691
2014,201401,Exports,India,Spain,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,330480
2014,201401,Exports,India,Switzerland,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,1423
2014,201401,Exports,India,Thailand,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,185870
2014,201401,Exports,India,United Kingdom,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,90360
2014,201401,Exports,India,United States of America,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,412739
2014,201401,Exports,India,"Other Asia, nes","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,1889993
2014,201401,Exports,India,Nepal,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,67770
2014,201401,Exports,India,Qatar,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,3045
2014,201401,Exports,India,Russian Federation,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,85783
2014,201401,Exports,India,Singapore,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,537473
2014,201401,Exports,India,France,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,75101
2014,201401,Exports,India,Germany,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,804
2014,201401,Exports,India,Italy,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,355790
2014,201401,Exports,India,Japan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,5225845
2014,201401,Exports,India,Dem. People's Rep. of Korea,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,160521
2014,201401,Exports,India,Rep. of Korea,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,378301
2014,201401,Exports,India,Lithuania,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,591507
2014,201401,Exports,India,Malaysia,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,127867
2014,201401,Exports,India,Maldives,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,851
2014,201401,Exports,India,Mauritius,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,3631
2014,201401,Exports,India,Canada,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,14298
2014,201401,Exports,India,Sri Lanka,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,16878
2014,201401,Exports,India,China,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,141954
2014,201402,Imports,India,Denmark,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,150354
2014,201402,Imports,India,Norway,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,174098
2014,201402,Imports,India,Singapore,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,7196
2014,201402,Imports,India,Viet Nam,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,1075970
2014,201402,Imports,India,Japan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,9908
2014,201402,Imports,India,United Arab Emirates,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,13857
2014,201402,Imports,India,United Kingdom,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,10837
2014,201402,Imports,India,United States of America,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,91521
2014,201402,Exports,India,United States of America,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,308779
2014,201402,Exports,India,"Areas, nes","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,804
2014,201402,Exports,India,United Kingdom,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,213613
2014,201402,Exports,India,United Arab Emirates,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,205378
2014,201402,Exports,India,Japan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,5673558
2014,201402,Exports,India,Dem. People's Rep. of Korea,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,34446
2014,201402,Exports,India,Rep. of Korea,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,212186
2014,201402,Exports,India,Lithuania,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,261877
2014,201402,Exports,India,Malaysia,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,372060
2014,201402,Exports,India,Maldives,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,7722
2014,201402,Exports,India,"Other Asia, nes","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,1564090
2014,201402,Exports,India,Nepal,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,44193
2014,201402,Exports,India,Netherlands,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,2820
2014,201402,Exports,India,Spain,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,281764
2014,201402,Exports,India,Thailand,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,37176
2014,201402,Exports,India,Singapore,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,209990
2014,201402,Exports,India,Qatar,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,932
2014,201402,Exports,India,Russian Federation,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,103138
2014,201402,Exports,India,France,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,134536
2014,201402,Exports,India,"China, Hong Kong SAR","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,2373
2014,201402,Exports,India,Italy,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,141125
2014,201402,Exports,India,Algeria,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,25201
2014,201402,Exports,India,Belgium,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,63015
2014,201402,Exports,India,Belarus,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,305406
2014,201402,Exports,India,China,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,340868
2014,201403,Imports,India,Japan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,14369
2014,201403,Imports,India,Chile,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,836
